birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1998-06-12,Dothan,us,forretr01,,Trent Forrest,USA,0
1992-10-29,Saint-Maurice,fr,fournev01,,Evan Fournier,France,1
1997-12-20,New Orleans,us,foxde01,,De'Aaron Fox,USA,0
1983-09-24,Newark,us,foyera01,,Randy Foye,USA,0
1990-11-01,Houston,us,fraziti01,,Tim Frazier,USA,0
1999-10-20,Chicago,us,freemja01,,Javon Freeman-Liberty,USA,0
1983-05-17,White Plains,us,fryech01,,Channing Frye,USA,0
1998-05-29,Upper Marlboro,us,fultzma01,,Markelle Fultz,USA,0
1997-03-26,Khartoum,sd,gabriwe01,,Wenyen Gabriel,Sudan,1
1998-10-01,El Dorado,us,gaffoda01,,Daniel Gafford,USA,0
